0	CAMERON RH	1954	B AM MATH SOC	60	338		Journal	Meeting Abstract	0	NONLINEAR INTEGRAL EQUATIONS	WOS:A1954XS48000030
1	SHAPIRO JM	1955	ANN MATH STAT	26	617		Journal	Article	4	ERROR ESTIMATES FOR CERTAIN PROBABILITY LIMIT THEOREMS	WOS:A1955WW78700005
2	CAMERON RH	1955	ANN MATH	62	472		Journal	Article	3	NONLINEAR INTEGRAL EQUATIONS	WOS:A1955WS34700007
3	SHAPIRO JM	1957	ANN MATH STAT	28	754		Journal	Article	4	SUMS OF INDEPENDENT TRUNCATED RANDOM-VARIABLES	WOS:A1957WW79400015
4	SHAPIRO JM	1958	ANN MATH STAT	29	515		Journal	Article	2	SUMS OF POWERS OF INDEPENDENT RANDOM-VARIABLES	WOS:A1958WW79700010
5	SHAPIRO JM	1960	ANN MATH STAT	31	222		Journal	Note	0	SUMS OF SMALL POWERS OF INDEPENDENT RANDOM-VARIABLES	WOS:A1960WW80400018
6	SHAPIRO JM	1965	J SOC IND APPL MATH	13	129		Journal	Article	1	DOMAINS OF ATTRACTION FOR ABSOLUTE VALUES OF RANDOM VARIABLES	WOS:A19656438800009
7	BOONYASO.V	1970	ANN MATH STAT	41	237		Journal	Article	5	ACCURACY OF INFINITELY DIVISIBLE APPROXIMATIONS TO SUMS OF INDEPENDENT VARIABLES WITH APPLICATION TO STABLE LAWS	WOS:A1970F624500022
8	SHAPIRO JM	1970	NOT AM MATH SOC	17	520		Journal	Meeting Abstract	0	ALGEBRAIC PROPERTIES OF REPRESENTATION RING OF COMPACT LIE GROUPS	WOS:A1970F875900009
9	SHAPIRO JM	1971	IEEE T RELIAB	R 20	261		Journal	Letter	0	DEFINITIONS OF RELIABILITY	WOS:A1971L357300015
10	SHAPIRO JM	1973	NOT AM MATH SOC	20	A644		Journal	Meeting Abstract	0	COHOMOLOGY OF CLASSICAL LINEAR GROUPS - PRELIMINARY REPORT	WOS:A1973R217300065
11	SHAPIRO JM	1974	ILLINOIS J MATH	18	509		Journal	Article	1	ALGEBRAIC STRUCTURE OF K-THEORY OF SU(3)/G2 AND SPIN(9)-F4	WOS:A1974U968700001
12	SHAPIRO JM	1974	ILLINOIS J MATH	18	79		Journal	Article	2	DUALITY THEOREM FOR REPRESENTATION RING OF A COMPACT CONNECTED LIE GROUP	WOS:A1974S518900008
13	SHAPIRO JM	1975	P AM MATH SOC	51	15		Journal	Article	0	CONDITIONS ON A COMPACT CONNECTED LIE GROUP WHICH INSURE A WEYL CHARACTER FORMULA	WOS:A1975AM84900003
